"continent","country","iso3","iron_abs","phytate_mg","npeople","gdd_yn"
"Africa","Algeria","DZA",10.0873669960034,1584,42228415,"Reported"
"Africa","Angola","AGO",9.67470783543197,1404,30809787,"Reported"
"Africa","Benin","BEN",9.24494391444839,1799,11485035,"Reported"
"Africa","Botswana","BWA",9.31907352029693,1741,2254067,"Reported"
"Africa","Burkina Faso","BFA",5.28339814271894,3831,19751466,"Reported"
"Africa","Burundi","BDI",9.21745268150036,1632,11175379,"Reported"
"Africa","Cameroon","CMR",8.74313177549126,2012,25216261,"Reported"
"Africa","Cape Verde","CPV",8.1995012418098,2398,543764,"Reported"
"Africa","Central African Republic","CAF",10.5344559928264,1548,4666375,"Reported"
"Africa","Chad","TCD",7.08144035345843,2980,15477727,"Reported"
"Africa","Comoros","COM",10.1359918410388,1471,832322,"Reported"
"Africa","Congo - Brazzaville","COG",11.0816001708489,1153,5244363,"Reported"
"Africa","Congo - Kinshasa","COD",10.754727738003,1021,84068092,"Reported"
"Africa","Côte d’Ivoire","CIV",8.60751458601937,2191,25069226,"Reported"
"Africa","Djibouti","DJI",10.9709654478057,1093,958923,"Reported"
"Africa","Egypt","EGY",8.87570387034557,2000,98423602,"Reported"
"Africa","Equatorial Guinea","GNQ",10.3850610365103,1258,1308966,"Reported"
"Africa","Eritrea","ERI",10.2549082001567,1345,NA,"Reported"
"Africa","Eswatini","SWZ",8.39655733542957,1884,1136274,"Reported"
"Africa","Ethiopia","ETH",8.94690082179343,1724,109224410,"Reported"
"Africa","Gabon","GAB",9.99701369081822,1440,2119275,"Reported"
"Africa","Gambia","GMB",9.57757752480227,1722,2280092,"Reported"
"Africa","Ghana","GHA",10.5310601552748,1437,29767108,"Reported"
"Africa","Guinea","GIN",9.23090286646843,1605,12414292,"Reported"
"Africa","Guinea-Bissau","GNB",9.108614937951,1653,1874304,"Reported"
"Africa","Kenya","KEN",8.41038889592251,1893,51392570,"Reported"
"Africa","Lesotho","LSO",6.20001957170125,3357,2108327,"Reported"
"Africa","Liberia","LBR",10.2801132589488,1743,4818976,"Reported"
"Africa","Libya","LBY",10.0937064611465,1650,6678565,"Reported"
"Africa","Madagascar","MDG",10.2386631488294,1241,26262313,"Reported"
"Africa","Malawi","MWI",7.7262979906324,2584,18143215,"Reported"
"Africa","Mali","MLI",8.12415875228863,2577,19077755,"Reported"
"Africa","Mauritania","MRT",10.3315004651006,1447,4403312,"Reported"
"Africa","Mauritius","MUS",10.584812228918,1664,1265300,"Reported"
"Africa","Morocco","MAR",9.60916521813821,1983,36029089,"Reported"
"Africa","Mozambique","MOZ",9.31499827891729,1781,29496009,"Reported"
"Africa","Namibia","NAM",9.10932972723338,1809,2448300,"Reported"
"Africa","Niger","NER",7.06500489670194,2562,22442831,"Reported"
"Africa","Nigeria","NGA",9.25951958295691,1704,195874685,"Reported"
"Africa","Rwanda","RWA",8.95279876644967,1607,12301969,"Reported"
"Africa","Senegal","SEN",9.50769350958859,1659,15854324,"Reported"
"Africa","Seychelles","SYC",11.1959969902695,1899,96763,"Reported"
"Africa","Sierra Leone","SLE",10.5394888561955,1541,7650149,"Reported"
"Africa","Somalia","SOM",8.94690082179343,1724,15008225,"Borrowed"
"Africa","South Africa","ZAF",10.2425524802933,2248,57792520,"Reported"
"Africa","South Sudan","SSD",9.72679107917683,1548,10975924,"Reported"
"Africa","Sudan","SDN",10.4998417529389,1123,41801532,"Reported"
"Africa","São Tomé & Príncipe","STP",8.61611887783158,2449,211032,"Reported"
"Africa","Tanzania","TZA",8.92202572074263,1876,56313444,"Reported"
"Africa","Togo","TGO",9.88185321496661,1607,7889095,"Reported"
"Africa","Tunisia","TUN",10.0447114788899,1625,11565203,"Reported"
"Africa","Uganda","UGA",8.80776207620968,1681,42729032,"Reported"
"Africa","Zambia","ZMB",9.30034178983409,2068,17351714,"Reported"
"Africa","Zimbabwe","ZWE",8.47615953417347,2170,14438812,"Reported"
"Americas","Antigua & Barbuda","ATG",11.9954506914314,740,96282,"Reported"
"Americas","Argentina","ARG",12.3792801478297,659,44494503,"Reported"
"Americas","Aruba","ABW",11.1483260793361,976,105846,"Borrowed"
"Americas","Bahamas","BHS",11.4442633657325,1118,385635,"Reported"
"Americas","Barbados","BRB",11.9936753284545,1246,286640,"Reported"
"Americas","Belize","BLZ",11.6634748272679,1618,383071,"Reported"
"Americas","Bermuda","BMU",10.6273146019811,1114,NA,"Borrowed"
"Americas","Bolivia","BOL",11.7018740866185,1004,11353140,"Reported"
"Americas","Brazil","BRA",11.3537946537901,1302,209469320,"Reported"
"Americas","British Virgin Islands","VGB",10.6266939459891,1012,NA,"Borrowed"
"Americas","Canada","CAN",10.7824032126435,1207,37065084,"Reported"
"Americas","Cayman Islands","CYM",10.9435287901694,1019,NA,"Borrowed"
"Americas","Chile","CHL",11.6762704598539,879,18729166,"Reported"
"Americas","Colombia","COL",13.1241702928274,1043,49661056,"Reported"
"Americas","Costa Rica","CRI",12.2709969082816,1369,4999443,"Reported"
"Americas","Cuba","CUB",11.5199016017927,1851,11338146,"Reported"
"Americas","Curaçao","CUW",11.1483260793361,976,159336,"Borrowed"
"Americas","Dominica","DMA",9.34875475274946,1697,NA,"Reported"
"Americas","Dominican Republic","DOM",11.4968264647578,895,10627147,"Reported"
"Americas","Ecuador","ECU",11.4247255483593,686,17084359,"Reported"
"Americas","El Salvador","SLV",8.87435420843728,2496,6420740,"Reported"
"Americas","Grenada","GRD",10.7743715328696,1020,111449,"Reported"
"Americas","Guatemala","GTM",9.4110268627566,2218,16346951,"Reported"
"Americas","Guyana","GUY",11.5142124408659,1425,779007,"Reported"
"Americas","Haiti","HTI",10.3267069367326,1027,11123183,"Reported"
"Americas","Honduras","HND",9.42595853854055,2162,9587523,"Reported"
"Americas","Jamaica","JAM",10.9435287901694,1019,2934853,"Reported"
"Americas","Mexico","MEX",7.66746864309942,3028,126190782,"Reported"
"Americas","Nicaragua","NIC",9.61062988265998,2084,6465502,"Reported"
"Americas","Panama","PAN",11.3900789689816,1332,4176868,"Reported"
"Americas","Paraguay","PRY",12.0480510257884,1290,6956069,"Reported"
"Americas","Peru","PER",12.4597549221208,1126,31989265,"Reported"
"Americas","Puerto Rico","PRI",11.5199016017927,1851,3193356,"Borrowed"
"Americas","Saint Martin (French part)","MAF",10.6266939459891,1012,NA,"Borrowed"
"Americas","Sint Maarten","SXM",10.6266939459891,1012,NA,"Borrowed"
"Americas","St. Kitts & Nevis","KNA",10.6266939459891,1012,NA,"Borrowed"
"Americas","St. Lucia","LCA",10.6266939459891,1012,181890,"Reported"
